# WindowRanger public build-number ledger.
#
# Columns: build_number<TAB>version<TAB>state<TAB>note
# State is one of: allocated, published, superseded.
#
# Before a distributable build, reserve the next number by appending one `allocated` row on
# develop and commit that allocation before creating/promoting the release branch. Never reuse or
# delete a number, including when a candidate is superseded.
1	0.1.0-beta.1	published	GitHub prerelease v0.1.0-beta.1
2	0.1.0-beta.2	published	GitHub prerelease v0.1.0-beta.2
3	0.1.0-beta.3	superseded	Signed Beta 3 candidate replaced before publication
4	0.1.0-beta.3	published	GitHub prerelease v0.1.0-beta.3
5	0.1.0-beta.4	published	GitHub prerelease v0.1.0-beta.4
6	0.1.0-beta.5	published	GitHub prerelease v0.1.0-beta.5
7	0.1.0-beta.6	published	GitHub prerelease v0.1.0-beta.6
8	0.1.0-beta.7	published	GitHub prerelease v0.1.0-beta.7 and Sparkle updater baseline
9	0.1.0-beta.8	published	GitHub prerelease v0.1.0-beta.8
10	0.1.0-beta.9	published	GitHub prerelease v0.1.0-beta.9
11	0.1.0-beta.10	published	GitHub prerelease v0.1.0-beta.10
12	1.0.0	published	GitHub Stable release v1.0.0
13	1.0.1	published	GitHub Stable release v1.0.1
14	1.0.2	published	GitHub Stable release v1.0.2
15	1.0.3	published	GitHub Stable release v1.0.3
16	1.0.4	published	GitHub Stable release v1.0.4
17	1.0.5	superseded	Unpublished candidate replaced after WR-117 workspace visibility fix
18	1.0.5	published	GitHub Stable release v1.0.5
19	1.0.6	published	GitHub Stable release v1.0.6
20	1.0.7	published	GitHub Stable release v1.0.7
21	1.0.8	published	GitHub Stable release v1.0.8
22	1.0.9	published	GitHub Stable release v1.0.9
23	1.0.10	superseded	Withheld after keyboard reverse-resize failure; never published
24	1.0.10	published	GitHub Stable release v1.0.10
